@relation 'BOOKKEEPER_training_iter_1-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.RemoveUseless-M99.0'

@attribute LOC numeric
@attribute CyclomaticComplexity numeric
@attribute Churn numeric
@attribute LocAdded numeric
@attribute NewcomerRisk numeric
@attribute Auth numeric
@attribute WeekendCommitRatio numeric
@attribute ' nSmell' numeric
@attribute ' isBuggy' {No,Yes}

@data
36,6,584,577,1,2,0,0,No
42,3,593,583,1,3,0,0,Yes
12,3,582,577,1,3,0,0,No
33,3,583,579,1,3,0,0,No
11,3,575,574,1,2,0,0,No
5,2,577,575,1,2,0,0,No
18,2,575,574,1,2,0,1,No
13,2,573,573,1,1,0,1,No
23,3,575,574,1,2,0,2,No
17,3,573,573,1,1,0,2,No
17,1,573,573,1,1,0,0,No
7,1,577,575,1,2,0,0,No
11,1,573,573,1,1,0,1,Yes
18,4,578,576,1,3,0,1,Yes
39,5,586,580,1,3,0,5,No
14,4,581,577,1,3,0,1,No
39,7,598,590,1,3,0,3,No
41,8,585,580,1,3,0,3,Yes
3,1,148,148,1,1,0,0,No
3,1,148,148,1,1,0,0,No
4,1,148,148,1,1,0,0,No
5,2,148,148,1,1,0,0,No
5,2,148,148,1,1,0,0,No
5,2,148,148,1,1,0,0,No
5,1,148,148,1,1,0,0,No
11,3,148,148,1,1,0,0,No
4,1,148,148,1,1,0,0,No
3,1,148,148,1,1,0,0,No
3,1,148,148,1,1,0,0,No
3,1,148,148,1,1,0,0,No
3,1,148,148,1,1,0,0,No
6,1,173,173,1,1,0,0,No
24,4,173,173,1,1,0,0,No
13,3,173,173,1,1,0,0,No
20,3,173,173,1,1,0,0,No
19,3,173,173,1,1,0,0,No
6,1,147,147,1,1,0,0,No
20,2,147,147,1,1,0,2,No
10,3,147,147,1,1,0,0,No
15,2,147,147,1,1,0,0,No
9,2,147,147,1,1,0,0,No
6,1,149,148,1,2,0,0,No
22,1,338,259,1,2,0,1,No
20,1,332,271,1,3,0,1,Yes
26,2,356,287,1,3,0,0,No
3,1,213,211,1,2,0,1,No
1,1,209,209,1,1,0,0,Yes
44,6,211,210,1,2,0,2,No
1,1,209,209,1,1,0,0,No
3,1,54,54,1,1,0,1,No
10,2,48,43,1,2,0,0,No
9,2,98,98,1,1,0,0,No
9,2,98,98,1,1,0,0,No
3,1,98,98,1,1,0,0,No
3,1,98,98,1,1,0,0,No
5,2,98,98,1,1,0,1,No
8,1,46,42,1,2,0,0,No
16,2,96,95,1,2,0,1,No
3,1,94,94,1,1,0,0,No
3,1,96,95,1,2,0,0,No
36,4,94,94,1,1,0,0,No
27,4,94,94,1,1,0,0,No
11,3,94,94,1,1,0,0,No
4,1,72,72,1,1,0,0,No
26,3,137,135,1,2,0,0,No
6,1,137,135,1,2,0,0,No
9,2,133,133,1,1,0,0,No
47,7,139,136,1,2,0,2,No
7,1,136,136,1,1,0,0,No
46,6,146,141,1,2,0,4,No
22,4,144,140,1,2,0,1,No
12,3,136,136,1,1,0,0,No
17,4,140,138,1,2,0,1,No
3,1,176,176,1,1,0,0,No
11,2,176,176,1,1,0,0,No
11,3,176,176,1,1,0,0,No
5,1,178,177,1,2,0,0,No
13,3,176,176,1,1,0,2,No
11,5,176,176,1,1,0,0,No
4,1,178,177,1,2,0,0,No
5,1,176,176,1,1,0,0,No
