@relation 'BOOKKEEPER_training_iter_2-weka.filters.unsupervised.attribute.Remove-R1,2,3-weka.filters.unsupervised.attribute.RemoveUseless-M99.0'

@attribute LOC numeric
@attribute CyclomaticComplexity numeric
@attribute Churn numeric
@attribute LocAdded numeric
@attribute fan-in numeric
@attribute fan-out numeric
@attribute NewcomerRisk numeric
@attribute Auth numeric
@attribute WeekendCommit numeric
@attribute nSmell numeric
@attribute isBuggy {No,Yes}

@data
6,2,706,704,1,2,1,3,0,0,No
14,3,704,703,0,3,1,2,0,0,No
57,4,206,203,0,13,1,2,0,3,Yes
22,2,201,200,0,6,1,2,0,1,No
15,2,201,200,0,5,1,2,0,1,Yes
21,2,243,222,0,9,1,2,0,1,No
16,2,207,205,0,5,1,2,0,1,No
37,5,404,259,0,10,1,2,0,1,No
22,4,377,233,0,7,1,2,0,1,No
8,2,236,202,0,2,1,2,0,0,Yes
7,2,29,15,0,3,1,1,0,1,No
11,1,0,0,0,4,0,0,0,0,No
6,1,0,0,0,2,0,0,0,0,No
9,1,0,0,0,3,0,0,0,0,No
8,1,0,0,0,3,0,0,0,0,No
3,1,704,703,1,0,1,2,0,0,No
7,2,29,15,0,3,1,1,0,1,No
11,1,0,0,0,4,0,0,0,0,No
6,1,0,0,0,2,0,0,0,0,No
9,1,0,0,0,3,0,0,0,0,No
8,1,0,0,0,3,0,0,0,0,No
3,1,205,204,0,0,1,2,0,0,No
3,1,200,199,0,0,1,2,0,0,No
6,2,198,198,0,3,1,1,0,1,No
5,1,198,198,0,3,1,1,0,1,No
9,2,198,198,0,3,1,1,0,1,No
23,3,202,200,0,9,1,3,0,1,No
55,9,268,250,0,8,1,3,1,8,No
3,1,0,0,0,1,0,0,0,0,No
7,1,143,142,1,4,1,2,0,0,No
4,1,146,146,0,1,1,2,0,0,No
72,8,236,197,0,14,1,3,0,4,No
8,2,36,26,0,1,1,1,0,0,No
10,2,20,18,0,1,1,1,0,0,No
12,2,187,186,1,3,1,2,0,0,Yes
53,8,180,179,0,7,1,2,0,2,Yes
4,1,180,179,1,1,1,2,0,0,No
42,5,213,198,0,11,1,3,0,3,Yes
10,2,205,194,0,6,1,3,0,2,Yes
14,2,0,0,0,4,0,0,0,1,No
6,1,69,68,0,4,1,2,0,0,No
4,1,71,69,1,1,1,2,0,0,No
4,1,151,151,0,0,1,2,0,0,No
6,2,144,142,0,2,1,3,0,0,No
32,6,144,141,0,4,1,2,0,0,No
7,2,140,139,0,2,1,2,0,0,Yes
38,8,154,150,0,8,1,3,0,3,Yes
4,1,0,0,0,2,0,0,0,0,Yes
23,4,176,173,0,7,1,2,0,2,Yes
13,2,173,172,0,4,1,2,0,1,No
8,1,172,171,0,5,1,2,0,2,Yes
39,5,186,178,0,9,1,2,0,0,Yes
3,1,170,170,0,1,1,1,0,0,No
3,1,170,170,0,1,1,1,0,1,No
3,1,170,170,0,1,1,1,0,1,No
3,1,170,170,1,1,1,1,0,0,No
6,2,104,103,0,3,1,1,0,0,Yes
43,9,125,115,0,7,1,2,0,2,Yes
5,1,78,78,0,0,1,1,0,0,No
4,1,78,78,0,1,1,1,0,0,No
4,1,78,78,0,1,1,1,0,0,No
6,1,78,78,1,2,1,1,0,1,No
5,1,78,78,0,1,1,1,0,0,Yes
6,1,78,78,0,2,1,1,0,1,Yes
4,1,87,87,0,0,1,1,0,0,No
10,2,87,87,0,1,1,1,0,0,No
26,6,87,87,0,1,1,1,0,0,Yes
4,1,85,85,0,0,1,1,0,0,No
4,1,85,85,0,1,1,1,0,0,No
9,3,85,85,0,1,1,1,0,0,No
3,1,85,85,0,0,1,1,0,0,No
4,1,61,61,0,1,1,1,0,0,No
3,1,0,0,0,1,0,0,0,0,No
3,1,38,38,0,1,1,1,0,0,No
3,1,38,38,0,1,1,1,0,0,No
4,1,218,217,0,2,1,1,0,0,No
4,1,218,217,0,2,1,1,0,0,No
4,1,218,217,0,1,1,1,0,0,No
4,1,218,217,0,2,1,1,0,0,No
4,1,218,217,0,1,1,1,0,0,No
4,1,220,218,0,2,1,1,0,0,No
4,1,379,378,0,2,1,1,0,0,No
4,1,379,378,0,2,1,1,0,0,No
4,1,379,378,0,2,1,1,0,0,No
4,1,379,378,0,2,1,1,0,0,No
4,1,379,378,0,2,1,1,0,0,No
4,1,379,378,0,2,1,1,0,0,No
4,1,379,378,0,1,1,1,0,0,No
7,2,377,377,0,1,1,1,0,0,No
7,2,377,377,1,2,1,1,0,0,Yes
7,2,379,378,0,2,1,1,0,1,Yes
11,3,377,377,0,1,1,1,0,0,No
4,1,379,378,0,2,1,1,0,0,No
4,1,379,378,0,1,1,1,0,0,No
4,1,381,379,0,2,1,1,0,0,No
20,3,251,251,0,9,1,1,0,2,No
15,3,251,251,0,8,1,1,0,1,No
37,4,251,251,0,13,1,1,0,4,No
32,4,251,251,0,12,1,1,0,3,No
26,5,251,251,0,6,1,1,0,2,Yes
10,2,251,251,0,2,1,1,0,0,No
31,4,251,251,0,7,1,1,0,2,No
24,4,251,251,0,6,1,1,0,1,No
7,3,251,251,0,1,1,1,0,0,Yes
3,1,251,251,0,0,1,1,0,0,No
16,2,193,193,0,3,1,1,0,0,Yes
9,2,193,193,0,2,1,1,0,0,No
7,1,193,193,0,3,1,1,0,0,No
11,1,193,193,0,2,1,1,0,0,No
6,1,193,193,0,1,1,1,0,0,No
4,1,193,193,0,1,1,1,0,0,No
4,1,193,193,0,1,1,1,0,0,No
4,1,193,193,0,1,1,1,0,0,No
16,2,193,193,0,6,1,1,0,3,Yes
10,2,193,193,0,4,1,1,0,1,Yes
9,1,514,514,0,3,1,1,0,0,No
59,5,514,514,0,13,1,1,0,3,Yes
53,5,514,514,0,13,1,1,0,3,Yes
9,2,514,514,0,2,1,1,0,0,Yes
16,3,514,514,0,7,1,1,0,1,No
11,3,514,514,0,6,1,1,0,1,Yes
10,1,514,514,0,2,1,1,0,0,No
11,1,514,514,0,4,1,1,0,0,No
14,3,514,514,0,5,1,1,0,0,No
11,1,514,514,0,3,1,1,0,0,No
3,1,514,514,0,1,1,1,0,0,No
3,1,514,514,0,1,1,1,0,0,No
29,2,514,514,0,4,1,1,0,0,No
21,2,514,514,0,4,1,1,0,0,No
9,1,514,514,0,1,1,1,0,0,No
34,3,514,514,0,8,1,1,0,2,No
27,3,514,514,0,7,1,1,0,2,Yes
15,2,514,514,0,6,1,1,0,1,Yes
4,1,514,514,0,1,1,1,0,0,No
4,1,514,514,0,1,1,1,0,0,No
4,1,514,514,0,1,1,1,0,0,No
22,2,514,514,0,4,1,1,0,1,Yes
23,2,514,514,0,9,1,1,0,1,Yes
11,2,514,514,0,4,1,1,0,1,Yes
36,5,514,514,0,6,1,1,0,1,No
22,3,514,514,0,5,1,1,0,0,Yes
4,1,514,514,0,1,1,1,0,0,No
36,5,514,514,0,6,1,1,0,1,No
22,3,514,514,0,5,1,1,0,0,No
4,1,514,514,0,1,1,1,0,0,No
19,1,204,204,0,2,1,1,0,0,No
6,1,204,204,0,2,1,1,0,0,No
11,2,204,204,1,5,1,1,0,0,No
33,5,204,204,1,3,1,1,0,2,No
56,13,98,98,0,8,1,1,0,1,No
13,3,187,182,0,2,1,3,0,0,Yes
15,2,185,181,0,4,1,3,0,0,Yes
8,2,183,180,0,2,1,2,0,0,Yes
16,2,184,181,0,4,1,3,0,0,Yes
9,2,180,179,0,2,1,2,0,0,Yes
5,1,182,180,0,2,1,2,0,0,Yes
4,1,178,178,0,0,1,1,0,0,No
4,1,178,178,0,1,1,1,0,0,No
5,2,178,178,0,1,1,1,0,0,No
3,1,178,178,0,0,1,1,0,0,No
7,2,178,178,0,2,1,1,0,1,No
4,1,178,178,0,0,1,1,0,0,No
4,1,178,178,0,1,1,1,0,0,No
5,2,178,178,0,1,1,1,0,0,No
3,1,178,178,0,0,1,1,0,0,No
9,2,140,140,0,0,1,2,0,0,No
12,2,140,140,0,0,1,2,0,1,No
9,2,140,140,0,0,1,2,0,0,No
12,2,140,140,0,0,1,2,0,1,No
6,1,241,238,1,1,1,3,0,0,No
7,1,227,227,0,4,1,1,0,0,Yes
8,2,227,227,1,1,1,1,0,0,Yes
3,1,234,234,0,1,1,1,0,0,No
18,4,283,281,0,5,1,3,0,0,Yes
5,1,320,314,0,1,1,2,0,0,No
13,1,324,314,0,5,1,2,0,5,No
40,6,345,304,0,12,1,2,0,1,No
9,1,14,13,0,3,1,2,0,0,Yes
99,15,0,0,0,26,0,0,0,12,Yes
11,1,0,0,0,5,0,0,0,0,No
14,2,0,0,0,8,0,0,0,0,Yes
18,4,283,281,0,5,1,3,0,0,No
9,3,66,66,1,3,1,1,0,0,No
8,2,66,66,0,3,1,1,0,1,No
9,3,66,66,1,3,1,1,0,0,No
8,2,66,66,0,3,1,1,0,1,No
5,1,523,522,0,1,1,2,0,0,No
32,4,528,524,0,18,1,2,0,2,No
16,2,521,521,3,6,1,1,0,0,No
12,1,521,521,0,6,1,1,0,0,No
117,16,521,521,0,21,1,1,0,4,No
4,1,521,521,1,2,1,1,0,0,No
3,1,521,521,0,1,1,1,0,0,No
8,3,521,521,1,2,1,1,0,0,No
8,3,521,521,0,2,1,1,0,1,No
6,2,528,528,0,2,1,2,0,0,No
48,3,521,521,4,8,1,1,0,1,No
11,2,521,521,0,4,1,1,0,0,No
21,6,523,522,0,8,1,2,0,4,No
14,3,521,521,0,4,1,1,0,0,No
117,16,521,521,0,21,1,1,0,4,No
4,1,521,521,1,2,1,1,0,0,No
3,1,521,521,0,1,1,1,0,0,No
8,3,521,521,1,2,1,1,0,0,No
8,3,521,521,0,2,1,1,0,1,No
6,2,528,528,0,2,1,2,0,0,No
48,3,521,521,4,8,1,1,0,1,No
11,2,521,521,0,4,1,1,0,0,No
21,6,523,522,0,8,1,2,0,4,No
14,3,521,521,0,4,1,1,0,0,No
55,4,596,582,1,12,1,3,1,2,Yes
33,2,581,576,0,5,1,2,0,2,Yes
36,6,584,577,0,3,1,2,0,0,Yes
42,3,593,583,0,16,1,3,0,0,Yes
12,3,582,577,0,5,1,3,0,0,Yes
33,3,583,579,0,14,1,3,0,0,No
11,3,575,574,0,5,1,2,0,0,Yes
5,2,577,575,0,2,1,2,0,0,Yes
18,2,575,574,0,5,1,2,0,1,No
13,2,573,573,0,4,1,1,0,1,No
23,3,575,574,0,6,1,2,0,2,No
17,3,573,573,0,5,1,1,0,2,No
17,1,573,573,1,3,1,1,0,0,No
7,1,577,575,0,2,1,2,0,0,No
11,1,573,573,0,3,1,1,0,1,Yes
18,4,578,576,0,4,1,3,0,1,Yes
39,5,586,580,0,10,1,3,0,5,Yes
14,4,581,577,0,4,1,3,0,1,No
39,7,598,590,0,5,1,3,0,3,No
41,8,585,580,0,7,1,3,0,3,Yes
3,1,148,148,0,1,1,1,0,0,No
3,1,148,148,0,0,1,1,0,0,No
4,1,148,148,0,0,1,1,0,0,No
5,2,148,148,0,0,1,1,0,0,No
5,2,148,148,0,1,1,1,0,0,No
5,2,148,148,0,1,1,1,0,0,No
5,1,148,148,0,0,1,1,0,0,No
11,3,148,148,0,1,1,1,0,0,Yes
4,1,148,148,0,0,1,1,0,0,No
3,1,148,148,0,1,1,1,0,0,No
3,1,148,148,0,0,1,1,0,0,No
3,1,148,148,0,0,1,1,0,0,No
