@relation 'OPENJPA_training_iter_1-weka.filters.unsupervised.attribute.Remove-R1,2,3-weka.filters.unsupervised.attribute.RemoveUseless-M99.0'

@attribute LOC numeric
@attribute CyclomaticComplexity numeric
@attribute Churn numeric
@attribute LocAdded numeric
@attribute fan-in numeric
@attribute fan-out numeric
@attribute NewcomerRisk numeric
@attribute Auth numeric
@attribute WeekendCommit numeric
@attribute nSmell numeric
@attribute isBuggy {No,Yes}

@data
4,1,457,457,1,1,1,1,0,0,No
3,1,457,457,0,1,1,1,0,0,No
3,1,457,457,0,1,1,1,0,0,No
4,1,457,457,0,1,1,1,0,0,No
3,2,457,457,0,1,1,1,0,0,No
4,1,457,457,0,1,1,1,0,0,No
4,1,457,457,0,1,1,1,0,0,No
4,1,457,457,0,2,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
7,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
7,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
7,2,457,457,0,1,1,1,0,0,No
3,1,369,369,0,1,1,1,0,0,No
4,1,369,369,0,0,1,1,0,0,No
15,4,369,369,0,7,1,1,0,0,No
2,1,369,369,0,0,1,1,0,0,No
17,5,369,369,0,5,1,1,0,0,No
5,1,369,369,0,3,1,1,0,0,No
15,2,369,369,1,9,1,1,0,0,No
11,2,369,369,1,6,1,1,0,0,No
11,2,369,369,1,6,1,1,0,0,No
20,4,379,371,0,6,1,2,0,1,No
10,3,369,369,0,4,1,1,0,0,No
26,5,374,370,0,10,1,2,0,2,No
3,1,217,217,0,0,1,1,0,0,No
3,1,217,217,0,0,1,1,0,0,No
4,1,217,217,0,0,1,1,0,0,No
51,5,217,217,0,15,1,1,0,1,No
36,9,217,217,0,12,1,1,0,2,No
52,14,217,217,0,18,1,1,0,2,No
11,4,217,217,0,6,1,1,0,1,No
37,12,454,448,0,11,1,3,1,2,No
5,1,445,445,0,1,1,1,0,0,No
11,3,445,445,0,3,1,1,0,0,No
7,2,445,445,0,2,1,1,0,0,No
6,2,445,445,0,2,1,1,0,0,No
4,3,445,445,3,0,1,1,0,0,No
39,9,447,446,1,11,1,2,1,0,No
15,5,447,446,1,8,1,2,1,1,No
22,8,445,445,0,1,1,1,0,0,No
72,14,450,447,0,22,1,2,1,2,No
11,4,445,445,0,5,1,1,0,0,No
29,8,445,445,0,5,1,1,0,0,No
4,1,177,177,0,3,1,1,0,0,No
20,5,177,177,0,9,1,1,0,0,No
7,2,177,177,0,2,1,1,0,0,No
12,5,177,177,0,4,1,1,0,0,No
57,10,177,177,0,24,1,1,0,2,No
7,3,177,177,1,6,1,1,0,0,No
9,1,129,129,0,3,1,1,0,0,No
45,9,147,137,0,19,1,1,0,2,Yes
2,1,129,129,0,0,1,1,0,0,No
10,2,72,71,0,5,1,2,1,0,No
7,1,129,129,1,1,1,1,0,0,No
2,1,129,129,0,0,1,1,0,0,No
14,5,130,129,0,3,1,1,0,0,No
4,1,129,129,0,1,1,1,0,0,No
4,1,129,129,0,1,1,1,0,0,No
7,3,129,129,0,3,1,1,0,0,No
3,1,129,129,0,0,1,1,0,0,No
3,1,129,129,0,1,1,1,0,0,No
6,2,129,129,0,2,1,1,0,0,No
54,12,263,263,0,20,1,1,0,2,Yes
3,1,263,263,0,0,1,1,0,0,No
3,1,263,263,0,0,1,1,0,0,No
4,1,263,263,0,0,1,1,0,0,No
3,1,263,263,0,0,1,1,0,0,No
3,1,263,263,0,0,1,1,0,0,No
61,12,273,265,0,19,1,2,0,1,Yes
4,1,263,263,0,2,1,1,0,0,No
3,1,263,263,0,2,1,1,0,0,No
61,12,273,265,0,19,1,2,0,1,No
4,1,263,263,0,2,1,1,0,0,No
3,1,263,263,0,2,1,1,0,0,No
15,4,166,166,1,5,1,1,0,0,No
4,1,166,166,1,1,1,1,0,0,No
4,1,166,166,0,1,1,1,0,0,No
4,1,166,166,0,1,1,1,0,0,No
23,7,166,166,0,4,1,1,0,0,No
4,2,166,166,0,0,1,1,0,0,No
5,1,166,166,0,2,1,1,0,0,No
6,2,166,166,1,1,1,1,0,0,No
6,2,166,166,0,2,1,1,0,0,No
3,1,625,625,0,1,1,1,0,0,No
3,1,625,625,0,1,1,1,0,0,No
4,1,625,625,0,1,1,1,0,0,No
2,1,625,625,0,0,1,1,0,0,No
3,1,625,625,0,1,1,1,0,0,No
15,4,625,625,0,8,1,1,0,0,No
15,3,625,625,0,6,1,1,0,0,No
9,3,625,625,0,4,1,1,0,0,No
8,3,625,625,0,2,1,1,0,0,No
3,1,625,625,0,0,1,1,0,0,No
8,1,625,625,0,7,1,1,0,0,No
3,1,625,625,0,1,1,1,0,0,No
20,2,625,625,1,14,1,1,0,0,No
36,4,627,626,0,11,1,1,0,1,No
36,6,625,625,0,15,1,1,0,1,No
37,5,625,625,0,14,1,1,0,1,Yes
60,8,625,625,0,14,1,1,0,2,No
10,2,625,625,1,6,1,1,0,0,No
10,2,625,625,1,6,1,1,0,0,No
10,3,625,625,0,4,1,1,0,0,No
50,11,625,625,0,14,1,1,0,3,No
9,1,200,200,0,9,1,1,0,0,No
3,1,200,200,0,0,1,1,0,0,No
10,3,200,200,0,4,1,1,0,0,No
53,11,200,200,0,16,1,1,0,3,No
5,3,64,56,0,0,1,2,0,0,No
4,1,65,63,0,1,1,2,1,0,No
4,1,65,63,0,1,1,2,1,0,No
5,1,63,62,0,3,1,2,1,0,No
5,1,61,61,0,3,1,1,0,0,No
4,1,5,5,0,1,1,1,1,0,No
4,1,0,0,0,2,0,0,0,0,No
5,2,192,192,0,2,1,1,0,0,No
7,3,192,192,1,2,1,1,0,0,No
14,3,192,192,0,3,1,1,0,0,No
3,1,192,192,0,0,1,1,0,0,No
5,1,196,194,0,3,1,2,1,0,No
5,2,196,194,0,1,1,2,1,0,No
4,1,198,195,0,2,1,2,1,0,No
4,1,196,194,0,2,1,2,1,0,No
8,1,198,195,0,4,1,2,1,0,No
6,1,194,193,0,3,1,2,1,0,No
5,2,192,192,0,1,1,1,0,0,No
4,2,196,194,0,1,1,2,1,0,No
3,1,192,192,0,0,1,1,0,0,No
6,1,192,192,0,3,1,1,0,0,No
16,4,207,203,0,1,1,2,1,0,No
6,2,201,200,0,3,1,2,1,0,No
9,1,91,91,0,3,1,1,0,0,No
15,5,97,94,0,2,1,2,1,0,No
5,1,97,94,0,1,1,2,1,0,No
6,1,102,96,0,3,1,2,1,0,No
6,2,178,178,0,1,1,1,0,0,No
2,1,178,178,0,0,1,1,0,0,No
9,3,178,178,0,3,1,1,0,1,No
3,1,180,179,0,0,1,2,1,0,No
3,1,180,179,0,0,1,2,1,0,No
5,2,182,180,0,1,1,2,1,1,No
3,1,180,179,0,0,1,2,1,0,No
3,1,180,179,0,0,1,2,1,0,No
4,1,178,178,0,0,1,1,0,0,No
5,2,178,178,0,1,1,1,0,1,No
4,2,182,180,0,1,1,2,1,1,No
3,1,178,178,0,0,1,1,0,0,No
3,1,178,178,0,0,1,1,0,0,No
3,1,180,179,0,0,1,2,1,0,No
3,1,180,179,0,0,1,2,1,0,No
3,1,180,179,0,0,1,2,1,0,No
3,1,180,179,0,0,1,2,1,0,No
3,1,187,186,0,0,1,2,1,0,No
6,2,187,186,0,3,1,2,1,1,No
6,1,79,79,0,3,1,1,0,0,No
9,3,83,81,0,2,1,2,1,0,No
4,1,83,81,0,1,1,2,1,0,No
6,1,90,84,0,3,1,2,1,0,No
4,1,81,81,0,1,1,1,0,0,No
4,1,83,82,0,1,1,2,1,0,No
3,1,83,82,0,0,1,2,1,0,No
5,1,91,85,0,3,1,2,1,0,No
7,3,134,134,0,5,1,1,0,0,No
9,3,134,134,0,1,1,1,0,1,No
19,5,142,138,0,8,1,2,1,0,No
5,1,140,137,0,1,1,2,1,0,No
6,1,141,141,0,3,1,2,1,0,No
6,1,101,101,0,3,1,1,0,0,No
17,3,111,106,0,8,1,2,1,0,No
5,1,107,104,0,1,1,2,1,0,No
6,1,112,106,0,3,1,2,1,0,No
2,1,171,171,0,0,1,1,0,0,No
18,1,171,171,0,9,1,1,0,0,No
3,1,171,171,0,0,1,1,0,0,No
4,1,175,173,0,2,1,2,1,0,No
5,1,177,174,0,1,1,2,1,0,No
4,1,177,174,0,2,1,2,1,0,No
4,1,175,173,0,2,1,2,1,0,No
8,1,177,174,0,4,1,2,1,0,No
6,1,175,173,0,3,1,2,1,0,No
5,1,177,174,0,1,1,2,1,0,No
4,1,177,174,0,1,1,2,1,0,No
3,1,171,171,0,0,1,1,0,0,No
11,1,186,182,0,3,1,2,1,0,No
6,1,180,179,0,3,1,2,1,0,No
3,3,211,211,0,0,1,1,0,0,No
3,1,211,211,0,1,1,1,0,1,No
14,5,211,211,0,1,1,1,0,1,No
2,1,211,211,0,0,1,1,0,0,No
7,2,213,212,0,1,1,2,1,0,No
3,1,211,211,0,0,1,1,0,0,No
4,1,215,213,0,2,1,2,1,0,No
8,1,221,216,0,4,1,2,1,0,No
3,1,211,211,0,0,1,1,0,0,No
4,1,217,214,0,2,1,2,1,0,No
4,1,221,216,0,2,1,2,1,0,No
8,2,217,214,0,4,1,2,1,0,No
3,1,211,211,0,0,1,1,0,0,No
10,5,219,215,0,3,1,2,1,0,No
10,5,219,215,0,3,1,2,1,0,No
10,3,213,212,0,4,1,2,1,0,No
7,2,215,213,0,2,1,2,1,0,No
7,2,217,214,0,2,1,2,1,0,No
2,1,83,83,0,0,1,1,0,0,No
11,2,89,86,0,6,1,2,1,0,No
7,2,85,84,0,2,1,2,1,0,No
5,1,83,83,0,1,1,1,0,0,No
4,1,77,77,0,1,1,1,0,0,No
9,2,81,79,0,5,1,2,1,0,No
4,1,81,79,0,1,1,2,1,0,No
5,1,87,81,0,3,1,2,1,0,No
14,4,178,178,0,5,1,1,0,0,No
3,1,178,178,0,1,1,1,0,0,No
3,1,178,178,0,1,1,1,0,0,No
2,1,178,178,0,0,1,1,0,0,No
10,3,178,178,0,4,1,1,0,0,No
