"Index","MethodName","MethodSignature","LOC","CyclomaticComplexity","Churn","LocAdded","fan-in","fan-out","NewcomerRisk","Auth","WeekendCommit","nSmell","isBuggy"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java::writeMasterKey","(byte[])","15","3","49","49","0","6","1.0","1","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java::readMasterKey","()","19","4","55","52","0","5","1.0","2","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java::size","()","7","2","0","0","1","0","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java::read","(ByteBuffer, long)","3","1","4","4","0","1","1.0","1","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java::readAbsolute","(ByteBuffer, long)","13","3","4","3","0","2","1.0","1","0","1","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java::close","()","6","2","0","0","0","1","0.0","0","0","0","Yes"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java::write","(ByteBuffer[], long)","19","4","0","0","0","3","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java::use","()","3","1","0","0","0","0","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java::release","()","10","3","0","0","0","2","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::putIntoTable","(HashMap<Long,HashMap<Long,LedgerEntryPage>>, LedgerEntryPage)","8","2","4","2","0","4","1.0","1","0","3","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::getFromTable","(HashMap<Long,HashMap<Long,LedgerEntryPage>>, Long, Long)","7","2","2","1","0","1","1.0","1","0","3","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::getLedgerEntryPage","(Long, Long, boolean)","13","4","0","0","0","3","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::putEntryOffset","(long, long, long)","20","3","6","3","0","6","1.0","2","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::getEntryOffset","(long, long)","22","3","6","3","0","6","1.0","2","0","0","Yes"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::getLedgerName","(long)","12","1","2","1","0","3","1.0","1","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::checkParents","(File)","9","3","0","0","0","3","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::pickDirs","(File[])","3","1","0","0","0","1","0.0","0","0","1","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::getFileInfo","(Long, boolean)","40","8","4","2","0","15","1.0","1","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::updatePage","(LedgerEntryPage)","19","4","0","0","0","8","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::flushLedger","(boolean)","100","19","11","6","0","25","1.0","2","0","6","Yes"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::compare","(LedgerEntryPage, LedgerEntryPage)","4","1","0","0","0","1","0.0","0","0","0","Yes"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::writeBuffers","(Long, List<LedgerEntryPage>, FileInfo, int, int)","30","8","6","3","0","9","1.0","2","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::grabCleanPage","(long, long)","56","11","8","4","0","20","1.0","2","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::getLastEntry","(long)","22","4","4","2","0","6","1.0","2","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::getActiveLedgers","()","24","5","7","2","0","9","1.0","2","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java::deleteLedger","(long)","29","2","4","2","0","8","1.0","1","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java::cmpMasterKey","(ByteBuffer)","3","1","2","1","0","1","1.0","1","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java::incRef","()","3","1","0","0","0","0","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java::decRef","()","3","1","0","0","0","0","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java::setFenced","()","3","1","11","10","0","0","1.0","2","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java::addEntry","(ByteBuffer)","21","2","1","1","0","4","1.0","1","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java::readEntry","(long)","44","9","8","4","0","13","1.0","2","0","1","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java::close","()","2","1","0","0","0","0","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::usePage","()","3","1","0","0","0","0","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::pin","()","3","1","0","0","0","0","0.0","0","0","0","No"
