Index,MethodName,LOC,CyclomaticComplexity,Churn,LocAdded,NewcomerRisk,Auth,WeekendCommitRatio, nSmell, isBuggy
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::recoverBookieData",27,3,717,716,1.0,2,0.0,1,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::recoverComplete",10,1,714,714,1.0,1,0.0,1,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::asyncRecoverBookieData",15,2,718,716,1.0,1,0.0,1,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::processResult",9,2,714,714,1.0,1,0.0,1,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::getAvailableBookies",32,4,714,714,1.0,1,0.0,2,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::processResult",20,3,714,714,1.0,1,0.0,2,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::getActiveLedgers",27,1,764,736,1.0,1,0.0,1,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::processResult",4,1,731,730,1.0,1,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::process",4,1,731,730,1.0,1,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::getNewBookie",11,2,714,714,1.0,1,0.0,2,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::recoverLedger",101,7,774,742,1.0,2,0.0,4,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::openComplete",85,6,730,722,1.0,1,0.0,4,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::recoverLedgerFragment",47,6,745,739,1.0,2,0.0,2,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::recoverLedgerFragmentEntry",48,4,716,715,1.0,2,0.0,2,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::readComplete",37,4,716,715,1.0,2,0.0,2,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::writeComplete",18,3,714,714,1.0,1,0.0,1,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::processResult",21,2,796,794,1.0,2,0.0,2,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::processResult",24,3,789,789,1.0,2,0.0,3,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::processResult",4,1,731,730,1.0,1,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::processResult",21,2,796,794,1.0,2,0.0,2,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::processResult",24,3,789,789,1.0,2,0.0,3,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::processResult",24,3,789,789,1.0,2,0.0,3,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java::safeRun",4,1,204,204,1.0,1,0.0,0,No
