@relation 'BOOKKEEPER_fullDataset-weka.filters.unsupervised.attribute.Remove-R1,2,3-weka.filters.unsupervised.attribute.RemoveUseless-M0.0-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11'

@attribute LOC numeric
@attribute CyclomaticComplexity numeric
@attribute Churn numeric
@attribute LocAdded numeric
@attribute fan-in numeric
@attribute fan-out numeric
@attribute NewcomerRisk numeric
@attribute Auth numeric
@attribute WeekendCommit numeric
@attribute nSmell numeric
@attribute isBuggy {No,Yes}

@data
4,1,0,0,0,2,0,0,0,0,No
3,1,0,0,0,1,0,0,0,0,No
8,3,0,0,0,2,0,0,0,0,No
8,3,0,0,0,2,0,0,0,1,No
6,2,7,7,0,2,1,1,0,0,No
48,3,0,0,0,8,0,0,0,1,No
11,2,0,0,0,4,0,0,0,0,No
21,6,2,1,0,8,1,1,0,4,No
14,3,0,0,0,4,0,0,0,0,No
55,4,23,9,1,12,1,3,1,2,Yes
33,2,8,3,0,5,1,1,0,2,Yes
36,6,11,4,0,3,1,1,0,0,Yes
42,3,20,10,0,16,1,2,0,0,Yes
12,3,9,4,0,5,1,2,0,0,Yes
33,3,10,6,0,14,1,2,0,0,No
11,3,2,1,0,5,1,1,0,0,Yes
5,2,4,2,0,2,1,1,0,0,Yes
18,2,2,1,0,5,1,1,0,1,No
13,2,0,0,0,4,0,0,0,1,No
23,3,2,1,0,6,1,1,0,2,No
17,3,0,0,0,5,0,0,0,2,No
17,1,0,0,1,3,0,0,0,0,No
7,1,4,2,0,2,1,1,0,0,No
11,1,0,0,0,3,0,0,0,1,Yes
18,4,5,3,0,4,1,2,0,1,Yes
39,5,13,7,0,10,1,2,0,5,Yes
14,4,8,4,0,4,1,2,0,1,No
39,7,25,17,0,5,1,2,0,3,No
41,8,12,7,0,7,1,2,0,3,Yes
3,1,0,0,0,1,0,0,0,0,No
3,1,0,0,0,0,0,0,0,0,No
4,1,0,0,0,0,0,0,0,0,No
5,2,0,0,0,0,0,0,0,0,No
5,2,0,0,0,1,0,0,0,0,No
5,2,0,0,0,1,0,0,0,0,No
5,1,0,0,0,0,0,0,0,0,No
11,3,0,0,0,1,0,0,0,0,Yes
4,1,0,0,0,0,0,0,0,0,No
3,1,0,0,0,1,0,0,0,0,No
3,1,0,0,0,0,0,0,0,0,No
3,1,0,0,0,0,0,0,0,0,No
3,1,0,0,0,0,0,0,0,0,No
6,1,0,0,0,0,0,0,0,0,No
24,4,0,0,3,12,0,0,0,0,No
13,3,0,0,0,3,0,0,0,0,No
20,3,0,0,0,5,0,0,0,0,No
19,3,0,0,0,5,0,0,0,0,No
6,1,0,0,0,1,0,0,0,0,No
20,2,0,0,2,7,0,0,0,2,No
10,3,0,0,3,4,0,0,0,0,No
15,2,0,0,0,6,0,0,0,0,No
9,2,0,0,0,3,0,0,0,0,No
6,1,2,1,0,2,1,1,0,0,No
22,1,133,52,0,9,1,2,0,1,No
20,1,123,62,0,3,1,3,0,1,Yes
26,2,147,78,0,13,1,3,0,0,No
3,1,4,2,0,1,1,2,0,1,No
1,1,0,0,0,0,0,0,0,0,Yes
44,6,2,1,0,13,1,1,0,2,Yes
