Release_Index,MethodName,LOC,Parameters_Count,Fan_Out,Cyclomatic_Complexity,LCOM,Churn,LOC_Added,Newcomer_Risk,n_Auth,Weekend_Commit,isBuggy
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::write,5,2,0,1,1,147,147,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::write,6,3,0,1,1,147,147,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::implCloseChannel,5,0,0,1,1,147,147,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java::create,40,1,0,19,3,253,253,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java::getMessage,42,1,0,20,3,253,253,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::process,7,1,4,2,14,461,448,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::asyncCreateLedger,7,6,1,1,14,450,447,1.0,3,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::createLedger,4,2,1,1,14,461,459,1.0,3,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::createLedger,22,4,7,2,14,674,647,1.0,3,0,1,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::asyncOpenLedger,4,5,1,1,14,612,609,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::asyncOpenLedgerNoRecovery,4,5,1,1,14,613,610,1.0,3,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::openLedger,19,3,6,2,14,661,644,1.0,3,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::openLedgerNoRecovery,20,3,6,2,14,262,259,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::asyncDeleteLedger,3,3,1,1,14,262,259,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::deleteLedger,12,1,7,2,14,262,259,1.0,2,0,1,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::close,13,0,4,3,14,61,61,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::createComplete,6,3,3,1,14,0,0,0.0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::openComplete,9,3,4,1,14,0,0,0.0,0,0,1,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::deleteComplete,5,2,2,1,14,0,0,0.0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::createComplete,6,3,3,1,1,0,0,0.0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::openComplete,9,3,4,1,1,0,0,0.0,0,0,1,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::deleteComplete,5,2,2,1,1,0,0,0.0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::process,6,1,4,2,11,738,737,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::close,4,0,1,1,11,714,714,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::getLedgerDigestType,3,1,0,1,11,714,714,1.0,1,0,1,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::getLedgerPasswd,3,1,0,1,11,714,714,1.0,1,0,1,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::recoverBookieData,27,2,5,3,11,717,716,1.0,2,0,1,No
